#qubits,#cycles,circuit,#nodes,#tasks,#threads,#samples,#iterations,#initialHidden,#sampleSteps,run,#hadamards,tvd,f_xeb,duration,success
4,5,0,1,1,1,8,1000,6,0,0,0,0.631190,2.062901,7.412696,True
4,5,0,1,1,1,8,1000,6,0,1,0,0.768561,1.827329,7.573033,True
4,5,0,1,1,1,8,1000,6,0,2,0,0.736299,2.288914,7.447161,True
4,5,0,1,1,1,8,1000,6,0,3,0,0.658744,2.003665,7.574148,True
4,5,0,1,1,1,8,1000,6,0,4,0,0.745139,1.707488,7.519350,True
4,5,0,1,1,1,8,10000,6,0,0,0,0.757978,2.155034,73.390947,True
4,5,0,1,1,1,8,10000,6,0,1,0,0.607170,1.893088,73.479730,True
4,5,0,1,1,1,8,10000,6,0,2,0,0.636309,1.744419,74.227297,True
4,5,0,1,1,1,8,10000,6,0,3,0,0.612651,1.958283,75.688424,True
4,5,0,1,1,1,8,10000,6,0,4,0,0.658170,2.260608,76.270213,True
4,5,0,1,1,1,8,100000,6,0,0,0,0.817960,1.737951,761.267344,True
4,5,0,1,1,1,8,100000,6,0,1,0,0.551062,2.181838,797.253757,True
4,5,0,1,1,1,8,100000,6,0,2,0,0.534021,2.226149,809.582151,True
4,5,0,1,1,1,8,100000,6,0,3,0,0.594167,2.014613,816.754884,True
4,5,0,1,1,1,8,100000,6,0,4,0,0.861111,1.789962,845.568239,True
4,5,0,1,1,1,54,1000,6,0,0,0,0.438902,2.008944,32.897692,True
4,5,0,1,1,1,54,1000,6,0,1,0,0.745042,1.825360,33.200539,True
4,5,0,1,1,1,54,1000,6,0,2,0,0.472374,2.004775,33.175847,True
4,5,0,1,1,1,54,1000,6,0,3,0,0.546343,1.885808,33.467503,True
4,5,0,1,1,1,54,1000,6,0,4,0,0.538016,1.956941,33.696306,True
4,5,0,1,1,1,54,10000,6,0,0,0,0.464191,2.024355,386.752421,True
4,5,0,1,1,1,54,10000,6,0,1,0,0.535360,2.146939,387.003999,True
4,5,0,1,1,1,54,10000,6,0,2,0,0.831998,2.449488,384.042517,True
4,5,0,1,1,1,54,10000,6,0,3,0,0.361992,2.122710,400.561240,True
4,5,0,1,1,1,54,10000,6,0,4,0,0.489967,1.812590,373.467793,True
4,5,0,1,1,1,54,100000,6,0,0,0,0.287920,2.339937,3911.326894,True
4,5,0,1,1,1,54,100000,6,0,1,0,0.274776,2.369310,4022.194563,True
4,5,0,1,1,1,54,100000,6,0,2,0,0.331208,2.326916,4092.855608,True
4,5,0,1,1,1,54,100000,6,0,3,0,0.655310,2.535723,3719.293078,True
4,5,0,1,1,1,54,100000,6,0,4,0,0.050485,2.520171,3849.017042,True
4,5,0,1,1,1,303,1000,6,0,0,0,0.528680,1.972361,156.554721,True
4,5,0,1,1,1,303,1000,6,0,1,0,0.668453,1.982938,156.766786,True
4,5,0,1,1,1,303,1000,6,0,2,0,0.718903,1.846483,156.714695,True
4,5,0,1,1,1,303,1000,6,0,3,0,0.741514,1.885044,156.069122,True
4,5,0,1,1,1,303,1000,6,0,4,0,0.517169,2.010872,158.599383,True
4,5,0,1,1,1,303,10000,6,0,0,0,0.019378,2.513426,1807.659118,True
4,5,0,1,1,1,303,10000,6,0,1,0,0.026727,2.559887,1748.283964,True
4,5,0,1,1,1,303,10000,6,0,2,0,0.005958,2.527441,1823.110592,True
4,5,0,1,1,1,303,10000,6,0,3,0,0.021011,2.561110,1721.106531,True
4,5,0,1,1,1,303,10000,6,0,4,0,0.008232,2.507816,1826.296063,True
4,5,0,1,1,1,303,100000,6,0,0,0,0.000090,2.543932,18503.427546,True
4,5,0,1,1,1,303,100000,6,0,1,0,0.000237,2.552524,17502.364789,True
4,5,0,1,1,1,303,100000,6,0,2,0,0.000611,2.548550,17470.075824,True
4,5,0,1,1,1,303,100000,6,0,3,0,0.000161,2.591172,18576.068165,True
4,5,0,1,1,1,303,100000,6,0,4,0,0.000333,2.555728,17460.044343,True
4,5,0,1,1,1,54,1000,6,0,0,0,0.438902,2.008944,32.897692,True
4,5,0,1,1,1,54,1000,6,0,1,0,0.745042,1.825360,33.200539,True
4,5,0,1,1,1,54,1000,6,0,2,0,0.472374,2.004775,33.175847,True
4,5,0,1,1,1,54,1000,6,0,3,0,0.546343,1.885808,33.467503,True
4,5,0,1,1,1,54,1000,6,0,4,0,0.538016,1.956941,33.696306,True
4,5,0,1,1,1,54,10000,6,0,0,0,0.464191,2.024355,386.752421,True
4,5,0,1,1,1,54,10000,6,0,1,0,0.535360,2.146939,387.003999,True
4,5,0,1,1,1,54,10000,6,0,2,0,0.831998,2.449488,384.042517,True
4,5,0,1,1,1,54,10000,6,0,3,0,0.361992,2.122710,400.561240,True
4,5,0,1,1,1,54,10000,6,0,4,0,0.489967,1.812590,373.467793,True
4,5,0,1,1,1,54,100000,6,0,0,0,0.287920,2.339937,3911.326894,True
4,5,0,1,1,1,54,100000,6,0,1,0,0.274776,2.369310,4022.194563,True
4,5,0,1,1,1,54,100000,6,0,2,0,0.331208,2.326916,4092.855608,True
4,5,0,1,1,1,54,100000,6,0,3,0,0.655310,2.535723,3719.293078,True
4,5,0,1,1,1,54,100000,6,0,4,0,0.050485,2.520171,3849.017042,True
4,5,0,1,1,1,50,1000,6,0,0,0,0.651701,1.945832,31.454950,True
4,5,0,1,1,1,50,1000,6,0,1,0,0.688688,2.084309,31.585782,True
4,5,0,1,1,1,50,1000,6,0,2,0,0.579848,1.937240,30.787167,True
4,5,0,1,1,1,50,1000,6,0,3,0,0.607394,1.909348,31.104607,True
4,5,0,1,1,1,50,1000,6,0,4,0,0.665022,2.217517,30.580449,True
4,5,0,1,1,1,50,10000,6,0,0,0,0.923035,1.895490,346.828758,True
4,5,0,1,1,1,50,10000,6,0,1,0,0.381526,2.185824,363.484488,True
4,5,0,1,1,1,50,10000,6,0,2,0,0.315042,2.177243,367.404469,True
4,5,0,1,1,1,50,10000,6,0,3,0,0.216171,2.259329,378.146376,True
4,5,0,1,1,1,50,10000,6,0,4,0,0.751215,1.859320,342.399292,True
4,5,0,1,1,1,50,100000,6,0,0,0,0.260072,2.332762,3742.430453,True
4,5,0,1,1,1,50,100000,6,0,1,0,0.667358,1.939898,3760.725499,True
4,5,0,1,1,1,50,100000,6,0,2,0,0.354538,2.169487,3702.060658,True
4,5,0,1,1,1,50,100000,6,0,3,0,0.375955,2.072841,3490.217411,True
4,5,0,1,1,1,50,100000,6,0,4,0,0.237192,2.264749,3545.042893,True
4,5,0,1,1,1,47,1000,6,0,0,0,0.617296,2.106873,29.794298,True
4,5,0,1,1,1,47,1000,6,0,1,0,0.723705,2.171666,29.317682,True
4,5,0,1,1,1,47,1000,6,0,2,0,0.638092,1.980838,29.661894,True
4,5,0,1,1,1,47,1000,6,0,3,0,0.634511,1.875833,29.562523,True
4,5,0,1,1,1,47,1000,6,0,4,0,0.514442,2.058847,30.095967,True
4,5,0,1,1,1,47,10000,6,0,0,0,0.375961,2.014417,336.595574,True
4,5,0,1,1,1,47,10000,6,0,1,0,0.298697,2.277416,336.929468,True
4,5,0,1,1,1,47,10000,6,0,2,0,0.435801,2.050753,334.066359,True
4,5,0,1,1,1,47,10000,6,0,3,0,0.350702,2.117569,345.695046,True
4,5,0,1,1,1,47,10000,6,0,4,0,0.312497,2.108839,352.075449,True
4,5,0,1,1,1,47,100000,6,0,0,0,0.355564,2.049119,3424.974291,True
4,5,0,1,1,1,47,100000,6,0,1,0,0.512879,2.020564,3337.688860,True
4,5,0,1,1,1,47,100000,6,0,2,0,0.223824,2.352236,3388.791017,True
4,5,0,1,1,1,47,100000,6,0,3,0,0.591087,2.220531,3488.455639,True
4,5,0,1,1,1,47,100000,6,0,4,0,0.243263,2.325709,3251.784101,True
4,5,0,1,1,1,43,1000,6,0,0,0,0.428961,1.902435,27.936506,True
4,5,0,1,1,1,43,1000,6,0,1,0,0.371108,2.055065,26.932205,True
4,5,0,1,1,1,43,1000,6,0,2,0,0.591509,2.103752,27.968322,True
4,5,0,1,1,1,43,1000,6,0,3,0,0.543059,2.022807,28.476196,True
4,5,0,1,1,1,43,1000,6,0,4,0,0.741265,1.926201,27.457988,True
4,5,0,1,1,1,43,10000,6,0,0,0,0.598124,1.882453,320.674718,True
4,5,0,1,1,1,43,10000,6,0,1,0,0.268763,2.416002,314.981823,True
4,5,0,1,1,1,43,10000,6,0,2,0,0.404475,2.208399,314.761818,True
4,5,0,1,1,1,43,10000,6,0,3,0,0.577992,2.013650,302.262620,True
