#qubits,#cycles,circuit,#nodes,#tasks,#threads,#samples,#iterations,#initialHidden,#sampleSteps,run,#hadamards,tvd,f_xeb,duration,success
4,5,0,1,1,1,8,1000,6,0,0,0,0.866737,1.955094,2.717616,True
4,5,0,1,1,1,8,1000,6,0,1,0,0.794781,1.683822,2.901379,True
4,5,0,1,1,1,8,1000,6,0,2,0,0.845585,2.349817,3.089112,True
4,5,0,1,1,1,8,1000,6,0,3,0,0.818040,1.877651,2.815975,True
4,5,0,1,1,1,8,1000,6,0,4,0,0.978647,1.321329,2.799062,True
4,5,0,1,1,1,8,10000,6,0,0,0,0.989206,1.858548,28.799809,True
4,5,0,1,1,1,8,10000,6,0,1,0,0.946639,2.052925,29.448975,True
4,5,0,1,1,1,8,10000,6,0,2,0,0.670610,1.854449,28.344511,True
4,5,0,1,1,1,8,10000,6,0,3,0,0.511910,2.054446,30.460481,True
4,5,0,1,1,1,8,10000,6,0,4,0,0.549019,1.941938,29.157684,True
4,5,0,1,1,1,8,100000,6,0,0,0,0.795085,2.035915,305.287777,True
4,5,0,1,1,1,8,100000,6,0,1,0,0.550195,2.104259,300.952034,True
4,5,0,1,1,1,8,100000,6,0,2,0,0.774945,2.000017,296.507874,True
4,5,0,1,1,1,8,100000,6,0,3,0,0.624140,1.844995,308.573693,True
4,5,0,1,1,1,8,100000,6,0,4,0,0.637833,1.910247,304.731701,True
4,5,0,1,1,1,54,1000,6,0,0,0,0.771064,1.729780,9.078042,True
4,5,0,1,1,1,54,1000,6,0,1,0,0.530470,2.004900,9.797749,True
4,5,0,1,1,1,54,1000,6,0,2,0,0.854506,2.135142,8.695430,True
4,5,0,1,1,1,54,1000,6,0,3,0,0.827979,1.923172,8.757098,True
4,5,0,1,1,1,54,1000,6,0,4,0,0.901904,1.663385,8.883730,True
4,5,0,1,1,1,54,10000,6,0,0,0,0.382516,2.287940,102.569602,True
4,5,0,1,1,1,54,10000,6,0,1,0,0.413507,2.484559,104.162186,True
4,5,0,1,1,1,54,10000,6,0,2,0,0.839958,2.092808,100.030830,True
4,5,0,1,1,1,54,10000,6,0,3,0,0.989384,1.616113,107.280438,True
4,5,0,1,1,1,54,10000,6,0,4,0,0.827773,1.744201,103.944774,True
4,5,0,1,1,1,54,100000,6,0,0,0,0.378317,2.627792,1013.545525,True
4,5,0,1,1,1,54,100000,6,0,1,0,0.540310,2.102894,981.151770,True
4,5,0,1,1,1,54,100000,6,0,2,0,0.282937,2.398492,1020.892287,True
4,5,0,1,1,1,54,100000,6,0,3,0,0.510855,2.130874,1021.259424,True
4,5,0,1,1,1,54,100000,6,0,4,0,0.548041,2.071533,998.881562,True
4,5,0,1,1,1,303,1000,6,0,0,0,0.906284,2.128767,37.494470,True
4,5,0,1,1,1,303,1000,6,0,1,0,0.694819,1.998698,36.748171,True
4,5,0,1,1,1,303,1000,6,0,2,0,0.603498,2.143271,37.013007,True
4,5,0,1,1,1,303,1000,6,0,3,0,0.639805,2.233505,36.761632,True
4,5,0,1,1,1,303,1000,6,0,4,0,0.731457,1.973133,36.860592,True
4,5,0,1,1,1,303,10000,6,0,0,0,0.679917,2.637723,390.166841,True
4,5,0,1,1,1,303,10000,6,0,1,0,0.946653,2.051779,386.632308,True
4,5,0,1,1,1,303,10000,6,0,2,0,0.042549,2.948687,394.139775,True
4,5,0,1,1,1,303,10000,6,0,3,0,0.724112,2.041052,410.365463,True
4,5,0,1,1,1,303,10000,6,0,4,0,0.005829,3.042540,411.104752,True
4,5,0,1,1,1,303,100000,6,0,0,0,0.004383,2.993997,4125.127401,True
4,5,0,1,1,1,303,100000,6,0,1,0,0.893306,2.430184,4005.829291,True
4,5,0,1,1,1,303,100000,6,0,2,0,0.500000,2.366408,4074.284078,True
4,5,0,1,1,1,303,100000,6,0,3,0,0.679917,2.831170,4108.964308,True
4,5,0,1,1,1,303,100000,6,0,4,0,0.323223,3.006866,4091.248989,True
4,5,0,1,1,1,54,1000,6,0,0,0,0.771064,1.729780,9.078042,True
4,5,0,1,1,1,54,1000,6,0,1,0,0.530470,2.004900,9.797749,True
4,5,0,1,1,1,54,1000,6,0,2,0,0.854506,2.135142,8.695430,True
4,5,0,1,1,1,54,1000,6,0,3,0,0.827979,1.923172,8.757098,True
4,5,0,1,1,1,54,1000,6,0,4,0,0.901904,1.663385,8.883730,True
4,5,0,1,1,1,54,10000,6,0,0,0,0.382516,2.287940,102.569602,True
4,5,0,1,1,1,54,10000,6,0,1,0,0.413507,2.484559,104.162186,True
4,5,0,1,1,1,54,10000,6,0,2,0,0.839958,2.092808,100.030830,True
4,5,0,1,1,1,54,10000,6,0,3,0,0.989384,1.616113,107.280438,True
4,5,0,1,1,1,54,10000,6,0,4,0,0.827773,1.744201,103.944774,True
4,5,0,1,1,1,54,100000,6,0,0,0,0.378317,2.627792,1013.545525,True
4,5,0,1,1,1,54,100000,6,0,1,0,0.540310,2.102894,981.151770,True
4,5,0,1,1,1,54,100000,6,0,2,0,0.282937,2.398492,1020.892287,True
4,5,0,1,1,1,54,100000,6,0,3,0,0.510855,2.130874,1021.259424,True
4,5,0,1,1,1,54,100000,6,0,4,0,0.548041,2.071533,998.881562,True
4,5,0,1,1,1,50,1000,6,0,0,0,0.755410,1.930806,8.297473,True
4,5,0,1,1,1,50,1000,6,0,1,0,0.628027,1.962277,8.760423,True
4,5,0,1,1,1,50,1000,6,0,2,0,0.864626,1.775714,8.360677,True
4,5,0,1,1,1,50,1000,6,0,3,0,0.759989,2.074897,8.760620,True
4,5,0,1,1,1,50,1000,6,0,4,0,0.518477,2.104543,8.635231,True
4,5,0,1,1,1,50,10000,6,0,0,0,0.712524,2.466375,95.246432,True
4,5,0,1,1,1,50,10000,6,0,1,0,0.188442,2.740808,96.078123,True
4,5,0,1,1,1,50,10000,6,0,2,0,0.893306,2.159002,92.621361,True
4,5,0,1,1,1,50,10000,6,0,3,0,0.814865,2.051836,92.024900,True
4,5,0,1,1,1,50,10000,6,0,4,0,0.946653,2.042779,96.698929,True
4,5,0,1,1,1,50,100000,6,0,0,0,-,-,-,False
4,5,0,1,1,1,50,100000,6,0,1,0,-,-,-,False
4,5,0,1,1,1,50,100000,6,0,2,0,0.786612,1.867562,949.322700,True
4,5,0,1,1,1,50,100000,6,0,3,0,0.544363,2.063322,941.904764,True
4,5,0,1,1,1,50,100000,6,0,4,0,0.665746,2.200487,937.693350,True
4,5,0,1,1,1,47,1000,6,0,0,0,0.838307,1.645403,7.837777,True
4,5,0,1,1,1,47,1000,6,0,1,0,0.785427,1.902714,7.744620,True
4,5,0,1,1,1,47,1000,6,0,2,0,0.557531,2.434284,8.165009,True
4,5,0,1,1,1,47,1000,6,0,3,0,0.727939,1.916709,8.049217,True
4,5,0,1,1,1,47,1000,6,0,4,0,0.833630,1.944951,8.166560,True
4,5,0,1,1,1,47,10000,6,0,0,0,0.822492,2.566581,88.484262,True
4,5,0,1,1,1,47,10000,6,0,1,0,0.702750,2.057991,90.391036,True
4,5,0,1,1,1,47,10000,6,0,2,0,0.856694,2.158057,90.457923,True
4,5,0,1,1,1,47,10000,6,0,3,0,0.635405,1.900606,90.595996,True
4,5,0,1,1,1,47,10000,6,0,4,0,0.661042,2.388734,88.208927,True
4,5,0,1,1,1,47,100000,6,0,0,0,0.604902,2.030884,898.770292,True
4,5,0,1,1,1,47,100000,6,0,1,0,0.206999,2.758851,894.857007,True
4,5,0,1,1,1,47,100000,6,0,2,0,-,-,-,False
4,5,0,1,1,1,47,100000,6,0,3,0,0.981694,1.639828,897.276384,True
4,5,0,1,1,1,47,100000,6,0,4,0,-,-,-,False
4,5,0,1,1,1,43,1000,6,0,0,0,0.591941,2.121804,7.475378,True
4,5,0,1,1,1,43,1000,6,0,1,0,0.715382,1.764779,7.712981,True
4,5,0,1,1,1,43,1000,6,0,2,0,0.826467,1.969596,7.634737,True
4,5,0,1,1,1,43,1000,6,0,3,0,0.652001,2.589029,7.580251,True
4,5,0,1,1,1,43,1000,6,0,4,0,0.729891,2.860120,7.434259,True
4,5,0,1,1,1,43,10000,6,0,0,0,0.416572,2.025721,83.964243,True
4,5,0,1,1,1,43,10000,6,0,1,0,0.990847,1.641114,82.401370,True
4,5,0,1,1,1,43,10000,6,0,2,0,0.942891,2.040268,85.543775,True
4,5,0,1,1,1,43,10000,6,0,3,0,0.370826,2.259016,83.026276,True
4,5,0,1,1,1,43,10000,6,0,4,0,0.550235,2.010548,87.448231,True
4,5,0,1,1,1,43,100000,6,0,0,0,0.783877,2.257566,861.461429,True
4,5,0,1,1,1,43,100000,6,0,1,0,-,-,-,False
4,5,0,1,1,1,43,100000,6,0,2,0,0.753905,2.505142,829.754888,True
4,5,0,1,1,1,43,100000,6,0,3,0,-,-,-,False
4,5,0,1,1,1,43,100000,6,0,4,0,-,-,-,False
4,5,1,1,1,1,8,1000,6,0,0,0,0.612184,1.921677,3.047523,True
4,5,1,1,1,1,8,1000,6,0,1,0,0.774066,1.752723,3.140689,True
4,5,1,1,1,1,8,1000,6,0,2,0,0.541162,2.627186,3.193870,True
4,5,1,1,1,1,8,1000,6,0,3,0,0.663536,1.737878,3.062237,True
4,5,1,1,1,1,8,1000,6,0,4,0,0.817156,3.077474,3.023452,True
4,5,1,1,1,1,8,10000,6,0,0,0,0.741144,1.906095,37.027032,True
4,5,1,1,1,1,8,10000,6,0,1,0,0.929205,1.454152,37.651063,True
4,5,1,1,1,1,8,10000,6,0,2,0,0.844567,1.549722,33.500605,True
4,5,1,1,1,1,8,10000,6,0,3,0,0.984568,1.620621,38.182329,True
4,5,1,1,1,1,8,10000,6,0,4,0,0.994638,1.433305,38.009983,True
