#qubits,#cycles,circuit,#nodes,#tasks,#threads,#samples,#iterations,#initialHidden,#sampleSteps,run,#hadamards,tvd,f_xeb,duration,success
4,5,0,1,1,1,8,1000,6,0,0,0,0.942224,1.634000,15.510413,True
4,5,0,1,1,1,8,1000,6,0,1,0,0.773752,1.730000,14.711131,True
4,5,0,1,1,1,8,1000,6,0,2,0,0.251283,2.078000,14.402107,True
4,5,0,1,1,1,8,1000,6,0,3,0,0.641518,2.221000,17.293119,True
4,5,0,1,1,1,8,1000,6,0,4,0,0.717312,2.214000,15.608268,True
4,5,0,1,1,1,8,10000,6,0,0,0,0.640401,2.047000,158.307292,True
4,5,0,1,1,1,8,10000,6,0,1,0,0.753114,2.122000,150.384765,True
4,5,0,1,1,1,8,10000,6,0,2,0,0.523442,2.004000,153.690479,True
4,5,0,1,1,1,8,10000,6,0,3,0,0.610249,2.097000,147.489627,True
4,5,0,1,1,1,8,10000,6,0,4,0,0.512528,2.080000,150.322362,True
4,5,0,1,1,1,8,100000,6,0,0,0,0.452910,2.286000,1502.183561,True
4,5,0,1,1,1,8,100000,6,0,1,0,0.843748,1.732000,1528.006933,True
4,5,0,1,1,1,8,100000,6,0,2,0,0.776419,2.092000,1480.414733,True
4,5,0,1,1,1,8,100000,6,0,3,0,0.449077,2.081000,1527.960119,True
4,5,0,1,1,1,8,100000,6,0,4,0,0.761324,2.105000,1572.486936,True
4,5,0,1,1,1,54,1000,6,0,0,0,0.320569,2.123000,50.283998,True
4,5,0,1,1,1,54,1000,6,0,1,0,0.533029,1.876000,47.714291,True
4,5,0,1,1,1,54,1000,6,0,2,0,0.703051,1.807000,46.859852,True
4,5,0,1,1,1,54,1000,6,0,3,0,0.303468,2.141000,47.772630,True
4,5,0,1,1,1,54,1000,6,0,4,0,0.936515,1.623000,46.289658,True
4,5,0,1,1,1,54,10000,6,0,0,0,0.625000,2.380000,492.002402,True
4,5,0,1,1,1,54,10000,6,0,1,0,0.625000,2.368000,482.037454,True
