#qubits,#cycles,circuit,#nodes,#tasks,#threads,#samples,#iterations,#initialHidden,#sampleSteps,run,#hadamards,tvd,f_xeb,duration,success
4,5,0,1,1,1,8,1000,6,0,0,0,0.533861,1.889298,15.243223,True
4,5,0,1,1,1,8,1000,6,0,1,0,0.533636,1.964444,14.739095,True
4,5,0,1,1,1,8,1000,6,0,2,0,0.595960,2.142016,15.504157,True
4,5,0,1,1,1,8,1000,6,0,3,0,0.601474,2.049527,15.021332,True
4,5,0,1,1,1,8,1000,6,0,4,0,0.871416,2.200815,14.796779,True
4,5,0,1,1,1,8,10000,6,0,0,0,0.742839,2.220120,152.542933,True
4,5,0,1,1,1,8,10000,6,0,1,0,0.742948,1.920946,146.713461,True
4,5,0,1,1,1,8,10000,6,0,2,0,0.837258,1.731803,151.039624,True
4,5,0,1,1,1,8,10000,6,0,3,0,0.953125,1.795360,148.518075,True
4,5,0,1,1,1,8,10000,6,0,4,0,0.535858,1.893712,149.766500,True
4,5,0,1,1,1,8,100000,6,0,0,0,0.484768,2.129441,1481.199247,True
4,5,0,1,1,1,8,100000,6,0,1,0,0.631410,1.946778,1503.232346,True
4,5,0,1,1,1,8,100000,6,0,2,0,0.622489,2.055249,1521.973876,True
4,5,0,1,1,1,8,100000,6,0,3,0,0.724876,1.882118,1449.836296,True
4,5,0,1,1,1,8,100000,6,0,4,0,0.590410,2.079920,1466.784561,True
4,5,0,1,1,1,54,1000,6,0,0,0,0.510091,1.913659,47.590921,True
4,5,0,1,1,1,54,1000,6,0,1,0,0.634271,1.909917,49.054197,True
4,5,0,1,1,1,54,1000,6,0,2,0,0.437395,2.140095,47.813337,True
4,5,0,1,1,1,54,1000,6,0,3,0,0.483446,1.941952,49.019150,True
4,5,0,1,1,1,54,1000,6,0,4,0,0.461493,1.993050,49.893133,True
4,5,0,1,1,1,54,10000,6,0,0,0,0.667160,1.879526,476.875347,True
4,5,0,1,1,1,54,10000,6,0,1,0,0.707673,2.214625,482.765016,True
4,5,0,1,1,1,54,10000,6,0,2,0,0.900842,1.739792,474.496666,True
4,5,0,1,1,1,54,10000,6,0,3,0,0.691478,1.926674,476.388298,True
4,5,0,1,1,1,54,10000,6,0,4,0,0.823846,2.043255,473.628040,True
4,5,0,1,1,1,54,100000,6,0,0,0,-,-,-,False
4,5,0,1,1,1,54,100000,6,0,1,0,0.875000,2.209463,4817.717412,True
4,5,0,1,1,1,54,100000,6,0,2,0,0.605867,1.935452,4783.078962,True
4,5,0,1,1,1,54,100000,6,0,3,0,0.813793,1.819085,4899.861315,True
4,5,0,1,1,1,54,100000,6,0,4,0,0.500000,2.232114,4910.954472,True
4,5,0,1,1,1,303,1000,6,0,0,0,0.450364,2.511352,201.689798,True
4,5,0,1,1,1,303,1000,6,0,1,0,0.291602,2.312076,201.040535,True
4,5,0,1,1,1,303,1000,6,0,2,0,0.366687,2.286318,201.125645,True
4,5,0,1,1,1,303,1000,6,0,3,0,0.402715,2.142303,205.482825,True
4,5,0,1,1,1,303,1000,6,0,4,0,0.303628,2.294011,200.980796,True
4,5,0,1,1,1,303,10000,6,0,0,0,0.729492,2.152309,1990.977578,True
4,5,0,1,1,1,303,10000,6,0,1,0,0.613669,2.125474,1950.991362,True
4,5,0,1,1,1,303,10000,6,0,2,0,0.748076,1.948230,2006.343198,True
4,5,0,1,1,1,303,10000,6,0,3,0,0.857383,1.634397,1977.164541,True
4,5,0,1,1,1,303,10000,6,0,4,0,0.875000,1.862976,2005.396236,True
4,5,0,1,1,1,303,100000,6,0,0,0,-,-,-,False
4,5,0,1,1,1,303,100000,6,0,1,0,-,-,-,False
4,5,0,1,1,1,303,100000,6,0,2,0,-,-,-,False
4,5,0,1,1,1,303,100000,6,0,3,0,-,-,-,False
4,5,0,1,1,1,303,100000,6,0,4,0,-,-,-,False
4,5,0,1,1,1,54,1000,6,0,0,0,0.510091,1.913659,47.590921,True
4,5,0,1,1,1,54,1000,6,0,1,0,0.634271,1.909917,49.054197,True
4,5,0,1,1,1,54,1000,6,0,2,0,0.437395,2.140095,47.813337,True
4,5,0,1,1,1,54,1000,6,0,3,0,0.483446,1.941952,49.019150,True
4,5,0,1,1,1,54,1000,6,0,4,0,0.461493,1.993050,49.893133,True
4,5,0,1,1,1,54,10000,6,0,0,0,0.667160,1.879526,476.875347,True
4,5,0,1,1,1,54,10000,6,0,1,0,0.707673,2.214625,482.765016,True
4,5,0,1,1,1,54,10000,6,0,2,0,0.900842,1.739792,474.496666,True
4,5,0,1,1,1,54,10000,6,0,3,0,0.691478,1.926674,476.388298,True
4,5,0,1,1,1,54,10000,6,0,4,0,0.823846,2.043255,473.628040,True
4,5,0,1,1,1,54,100000,6,0,0,0,-,-,-,False
4,5,0,1,1,1,54,100000,6,0,1,0,0.875000,2.209463,4817.717412,True
4,5,0,1,1,1,54,100000,6,0,2,0,0.605867,1.935452,4783.078962,True
4,5,0,1,1,1,54,100000,6,0,3,0,0.813793,1.819085,4899.861315,True
4,5,0,1,1,1,54,100000,6,0,4,0,0.500000,2.232114,4910.954472,True
4,5,0,1,1,1,50,1000,6,0,0,0,0.379086,2.142909,46.769165,True
4,5,0,1,1,1,50,1000,6,0,1,0,0.329634,2.034426,45.282151,True
4,5,0,1,1,1,50,1000,6,0,2,0,0.493214,1.983036,46.368512,True
4,5,0,1,1,1,50,1000,6,0,3,0,0.445209,2.133575,45.051084,True
4,5,0,1,1,1,50,1000,6,0,4,0,0.458699,1.903496,46.910217,True
4,5,0,1,1,1,50,10000,6,0,0,0,0.076275,2.455127,459.462043,True
4,5,0,1,1,1,50,10000,6,0,1,0,0.735571,1.753667,442.176311,True
4,5,0,1,1,1,50,10000,6,0,2,0,0.634627,2.086521,452.899287,True
4,5,0,1,1,1,50,10000,6,0,3,0,0.875000,2.000728,456.731420,True
4,5,0,1,1,1,50,10000,6,0,4,0,0.500000,1.978136,457.602934,True
4,5,0,1,1,1,50,100000,6,0,0,0,-,-,-,False
4,5,0,1,1,1,50,100000,6,0,1,0,-,-,-,False
4,5,0,1,1,1,50,100000,6,0,2,0,-,-,-,False
4,5,0,1,1,1,50,100000,6,0,3,0,0.875000,2.363887,4462.134602,True
4,5,0,1,1,1,50,100000,6,0,4,0,-,-,-,False
