circuit,cycles,samples,iterations,tvd
1,5,303,100000,0
2,5,303,100000,0
3,5,303,100000,0
4,5,303,100000,0
5,5,303,100000,0
6,5,303,100000,0
7,5,303,100000,0
8,5,303,100000,0
9,5,303,100000,0
10,5,303,100000,0
11,5,303,100000,0
12,5,303,100000,0
13,5,303,100000,0
14,5,303,100000,0
15,5,303,100000,0
16,5,303,100000,0
17,5,303,100000,0
18,5,303,100000,0
19,5,303,100000,0
20,5,303,100000,0
21,10,303,100000,0
22,10,303,100000,0
23,10,303,100000,0
24,10,303,100000,0
25,10,303,100000,0
26,10,303,100000,0
27,10,303,100000,0
28,10,303,100000,0
29,10,303,100000,0
30,10,303,100000,0
31,10,303,100000,0
32,10,303,100000,0
33,10,303,100000,0
34,10,303,100000,0.01
35,10,303,100000,0
36,10,303,100000,0
37,10,303,100000,0
38,10,303,100000,0
39,10,303,100000,0
40,10,303,100000,0
,,,,
,,,,
,,,,0
