circuit,cycles,samples,iterations,tvd
1,5,303,100000,0
2,5,54,1000,0.34
3,5,303,10000,0.29
4,5,303,100000,0.01
5,5,47,10000,0.21
6,5,303,10000,0.19
7,5,303,10000,0
8,5,303,100000,0
9,5,303,100000,0
10,5,50,100000,0.01
11,5,303,10000,0.01
12,5,50,10000,0.26
13,5,303,10000,0.13
14,5,54,10000,0.33
15,5,303,10000,0.2
16,5,303,100000,0
17,5,303,10000,0.06
18,5,303,100000,0
19,5,50,10000,0.42
20,5,8,1000,0.3
21,10,47,10000,0.41
22,10,54,1000,0.21
23,10,43,10000,0.38
24,10,8,10000,0.23
25,10,50,1000,0.31
26,10,54,1000,0.25
27,10,303,10000,0
28,10,47,1000,0.23
29,10,47,1000,0.38
30,10,303,10000,0.19
31,10,303,10000,0.27
32,10,303,10000,0
33,10,47,1000,0.42
34,10,8,1000,0.41
35,10,43,100000,0.38
36,10,50,1000,0.29
37,10,8,1000,0.33
38,10,50,1000,0.41
39,10,43,100000,0.28
40,10,303,10000,0
,,,,
,,,,
,,,,0.21
