circuit,cycles,samples,iterations,tvd
1,5,50,1000,0.22
2,5,303,1000,0.18
3,5,303,100000,0
4,5,303,1000,0.13
5,5,303,10000,0
6,5,303,10000,0.01
7,5,303,100000,0
8,5,303,1000,0.19
9,5,303,10000,0.12
10,5,303,10000,0.04
11,5,303,100000,0
12,5,303,10000,0.04
13,5,54,100000,0.24
14,5,303,10000,0.22
15,5,47,1000,0.46
16,5,54,1000,0.37
17,5,48,1000,0.25
18,5,303,10000,0.01
19,5,303,1000,0.19
20,5,303,10000,0
21,10,47,1000,0.39
22,10,303,10000,0.01
23,10,303,10000,0
24,10,54,1000,0.34
25,10,303,1000,0.39
26,10,303,1000,0.28
27,10,303,10000,0.35
28,10,303,10000,0
29,10,303,1000,0.32
30,10,303,1000,0.3
31,10,303,10000,0.05
32,10,54,1000,0.34
33,10,303,1000,0.19
34,10,54,10000,0.36
35,10,303,100000,0
36,10,50,1000,0.31
37,10,54,1000,0.37
38,10,43,1000,0.35
39,10,47,1000,0.39
40,10,303,10000,0.04
,,,,
,,,,0.2
